,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
LDA_00,0.0012393183401895038,0.01349119670389514,0.0,0.001389833713835003,6.165668484391124e-05,0.00029953657027648265
LDA_01,0.0010801035139774745,0.013400759416526081,0.0,0.0014870637365878149,5.418151624031483e-05,4.5780364483860525e-05
LDA_02,0.0026094996266692585,0.013388744589819191,0.0,0.00247961345185918,0.0009327045880194,4.311427043417022e-05
LDA_03,0.005970709684104605,0.013513467223162353,0.0,0.004505217084186939,0.0017925265274538879,3.737770434195362e-05
LDA_04,0.0015724219825475586,0.013399245259965229,0.0,0.0013226997593918505,0.0002984187610593861,0.00010220294192866043
abs_title_sentiment_polarity,0.0017237006233231428,0.013531899672324564,0.0,0.00183455895813334,0.00019068610970141784,1.9247357391455606e-05
abs_title_subjectivity,0.0006724287724479409,0.013151794705188366,0.0,0.0009193206278953824,5.229259359428687e-05,3.058260039346673e-05
average_token_length,0.0008952205058721534,0.013650710109711603,0.0,0.0011540358340279737,0.00014616796167692936,0.0002562860891771241
avg_negative_polarity,0.0022511377139074213,0.013097372066498796,0.0,0.0019475988330322261,0.0004440752353536579,0.00011777422397562895
avg_positive_polarity,0.0017127039450051526,0.013494760649023357,0.0,0.001917757496320443,0.00015850301446404454,6.861614753164308e-05
data_channel_is_bus,0.0009475659553773477,0.013193713477054916,0.0,0.0016611401510313061,5.9150247063258186e-05,0.00032201053567065525
data_channel_is_entertainment,0.000931549518985072,0.01282264736603513,0.0,0.000674023067821988,0.0003707632119989497,1.2537989080785584e-05
data_channel_is_lifestyle,0.00046185487602630357,0.013365709386788981,0.0,0.0011881738342581834,0.00010927536010554043,0.0001610414495789799
data_channel_is_socmed,0.0004256008592040926,0.013566133823078197,0.0,0.0011800723379497549,9.041237617740817e-05,3.732604709687324e-05
data_channel_is_tech,0.0005110442001281855,0.013388424898997102,0.0,0.001134560871089087,0.00010263140776478998,3.1207476885726764e-05
data_channel_is_world,0.001789640816401509,0.013232192578705016,0.0,0.0013118357108032213,0.0006628992956077591,4.972601122895073e-05
global_rate_negative_words,0.000596397454600031,0.013421491659387998,0.0,0.0006940153252825178,4.09504029116762e-05,1.821569312989975e-06
global_rate_positive_words,0.0009618776637293537,0.013593710476463381,0.0,0.0012240744400456847,0.00012286965246327718,3.398654820253695e-05
global_sentiment_polarity,0.0008141027158801098,0.013392499140158496,0.0,0.0008460409905143363,4.337300838885509e-05,3.768912859485165e-05
global_subjectivity,0.00401536641049066,0.013223236247114679,0.0,0.003068438428526027,0.0008837233497544628,9.306379370647339e-05
is_weekend,0.0006257097309277436,0.013368485889433864,0.0,0.0013288718436115013,0.0001289024369473587,8.845545513263335e-07
kw_avg_avg,0.010411392867225014,0.013323456735631945,0.0,0.007035671230909282,0.004133138384384405,0.00027835276791058104
kw_avg_max,0.0025465784655527256,0.013158753589211656,0.0,0.0023795010715726298,0.0006372704794166317,0.00029206367945307915
kw_avg_min,0.0011508560079862408,0.0134713140983488,0.0,0.0012512019385443097,0.00028457148234198396,0.00015766343085749505
kw_max_avg,0.007972158589043094,0.013044274645917111,0.0,0.004929143929644973,0.0038170853478809537,0.00012390778141462463
kw_max_max,0.001200458623069426,0.013473644329591777,0.0,0.001450135827740175,4.799452886761094e-05,4.3411779750530523e-05
kw_max_min,0.0018245311205303397,0.013400250349216077,0.0,0.001788304882716202,0.00032024491077268976,0.00012249641453220743
kw_min_avg,0.004438674421054698,0.013140003784172873,0.0,0.003420680001994649,0.0010696490185080022,7.653949177694952e-05
kw_min_max,0.0014845157656751633,0.013262140213576953,0.0,0.0022395037246740568,0.0002678866993821736,5.07560268927064e-05
kw_min_min,0.0004306310250088237,0.013403376158178095,0.0,0.0007857922445794512,0.00019881377174304428,2.1693699894293302e-05
max_negative_polarity,0.002478455565880269,0.013069050039011567,0.0,0.0027956177652131734,0.00020941345381661258,0.0005171525852740306
max_positive_polarity,0.0009808808975818152,0.013508691588376523,0.0,0.0010396739156296655,0.00019124985720395647,8.569012727609774e-05
min_negative_polarity,0.0015658218004744773,0.013465057932272895,0.0,0.0016793730725857287,0.00015935360652971387,3.831663797222626e-05
min_positive_polarity,0.0006532865307454954,0.01334611605859241,0.0,0.0013047156026627464,0.00010171384997833947,2.9183665538862656e-05
n_non_stop_unique_tokens,0.0008837897286392978,0.013462604871754399,0.0,0.0016883177255617111,0.0002643772583276538,0.000339663443695909
n_non_stop_words,0.0012328153498693433,0.013397474091302694,0.0,0.0010902134540642008,0.00019986019225995365,0.00014390495646487788
n_tokens_content,0.0030637390218019793,0.013303773711549484,0.0,0.00250086069407743,0.0002535061908480443,0.00014929515995451496
n_tokens_title,0.000542476855517152,0.013477339824950042,0.0,0.0009694042767825092,8.102671005520515e-05,3.9202221133778574e-05
n_unique_tokens,0.0013956086297463321,0.013123818074832424,0.0,0.0018857363062645565,0.00021436599999838138,0.0008097423245658221
num_hrefs,0.0028554384823667616,0.013150574665351343,0.0,0.0025265849545728827,0.0007261128860783601,0.0005090269872337841
num_imgs,0.0035428772341597487,0.013551376748141419,0.0,0.003021283946773835,0.0006762206462745951,9.551547294802907e-05
num_keywords,0.0005661394898472332,0.013470588034976612,0.0,0.0007515311384328946,0.00023606105189645878,5.082491304618077e-05
num_self_hrefs,0.0010368305412111068,0.013302070410692982,0.0,0.00139350161033322,0.00010550681341071358,6.507391112228766e-05
num_videos,0.001789493147058043,0.01327783397724272,0.0,0.0016649797535064521,0.0002893203754329302,0.00045277792334835325
rate_negative_words,0.0005821086554122365,0.013329973528055284,0.0,0.0007603488811695408,1.218187767759953e-05,4.5407235841113566e-05
rate_positive_words,0.0008689910990308273,0.013413523912349713,0.0,0.0010226612375342414,4.6751011971067434e-05,1.316747341777292e-05
self_reference_avg_sharess,0.007412178355989377,0.013428469596811479,0.0,0.005995609343257973,0.0031353344948597634,2.496113963871326e-05
self_reference_max_shares,0.007177814064932891,0.01331718083188563,0.0,0.005727319553298498,0.0020301259649289326,0.0006129070781019522
self_reference_min_shares,0.00512244596187231,0.01400430641459347,0.0,0.004492549187954586,0.0019674243122928974,0.00025152138743767086
title_sentiment_polarity,0.0015747017834330912,0.013355522436226903,0.0,0.002058398719941593,0.00013047732944560927,0.00016075901872462275
title_subjectivity,0.001419055009212,0.013362466497207563,0.0,0.0012923326424044512,0.00012482259879547912,0.0001493780681741932
weekday_is_friday,0.00034290913102502586,0.01347594461218441,0.0,0.0005587372284985598,2.6052896875491298e-05,3.732604709687324e-05
weekday_is_monday,0.0007473540564080416,0.013104016556400417,0.0,0.0010698499578905415,6.391417056781464e-05,0.0001745569505982609
weekday_is_saturday,0.0006231951877718793,0.013470624670230313,0.0,0.0006553341382174857,0.00011062562296907774,1.7499430407941397e-05
weekday_is_sunday,0.00033900896270616844,0.013359079466495172,0.0,0.0010209668245336394,2.4105944258412614e-05,2.0386041037535265e-05
weekday_is_thursday,0.0004491096264279718,0.013393817332300224,0.0,0.0010965371920666413,7.099943119507321e-05,2.3224928642876945e-05
weekday_is_tuesday,0.0005233271017867964,0.013287876252616584,0.0,0.0009908681226457917,4.131972159599448e-05,2.328781439469305e-05
weekday_is_wednesday,0.0004569330148058567,0.01339663061225297,0.0,0.000609624247629269,1.876777699705908e-05,2.6541822432387403e-05
